Размер матрицы,Количество запусков,Время выполнения
7,100,1.0800019400000008e-05
700,10,0.0037519000000000007
700,50,0.018986799999999998
700,100,0.036907600000000006
700,200,0.07352570000000001
700,300,0.10961640000000007
700,400,0.15445420000000007
700,500,0.18536279999999997
700,900,0.3358695
700,1000,0.37517300000000026
700,1500,0.5584954999999999
700,2000,0.7538150999999996
700,3000,1.1388176000000032
700,1600,0.6519763000000001
700,1700,0.6700910999999997
700,1800,0.7019532999999983
700,1900,0.7611453000000001
700,1550,0.5887564999999995
700,1560,0.5792179000000001
700,16000,6.531839500000054
700,16500,7.199901400000048
700,16100,6.519232600000027
700,16200,6.457342000000061
700,15300,6.288233500000067
700,16300,6.712277600000016
700,16400,6.684046400000024
